Text,Labels
Campus height,12
what are the different committe in college,29
Technical specifications inquiry assistance,56
Any updates on my recent order?,38
syllabus,13
What is your contact no,5
can we wear casuals,28
Building levels,12
what should I call you,3
Estimated delivery time tracking support,57
tell me something about the fees,7
exam schedule,23
What is college intake,27
What is the status of my order?,38
Return item eligibility,52
Updating billing address help,54
Product usage instructions needed,53
scholarship for chemical engineering,25
Feedback form access help,55
Product certification details clarification,56
name of computer hod,20
Tracking package location,57
Degree options,6
dumb ass,31
Directions to college,8
Product certification details,56
what is the uniform,28
Product return terms and conditions,42
scholarship for mechanical engineering,25
Postgraduate programs,6
what are courses in UNI?,6
Program details,6
hostel servive,9
Trouble with online payment,39
Return instructions,42
information about sports,33
Warranty information request,53
do you guys have hostel,9
Where is my order?,38
How to dial college,5
Library books information,14
College building size,12
Tracking order shipment,57
Expected delivery window,40
who create you,2
Delivery schedule,40
food variety,17
Return policy details,52
how many committee are there in college,29
building size,12
Understanding product features,53
what is the fees,7
Mechanical engineering,6
computer hod,20
Travel to college,8
Refund confirmation query,45
Map of the college,8
scholarship engineering,25
holidays,32
Return merchandise instructions,52
Return process,42
What's the current status of my order?,38
What topics are covered in IT,13
Real-time order tracking assistance,57
AI/Ml,6
Need help with software problems,48
Return packaging requirements,52
Technical assistance request,48
Clarification on billing statement,54
Sharing customer experience guidance,55
How can I modify my order?,51
Billing account management,54
documents needed during admission,11
Feedback implementation process guidance,55
Detailed technical features,56
Hey,0
Compliance with industry standards,56
nice work,34
how to get in hostel,9
address of college,8
Is there a cafetaria in college,16
Return authorization process,42
what about college timing,4
Understanding refund procedures,45
Lodging costs,7
Discount availability check,43
Check my order status,38
Troubleshooting software issues,48
Call the institution,5
How many floors does college have,12
Is the product in stock?,41
What to submit for admission,11
Where is principal's office,22
different committee in college,29
Building height,12
How to reach technical support?,48
Delivery timeframe,40
Detailed product information needed,53
I love you,30
Stock availability confirmation,41
exam,23
Social events,10
What is college placement,18
Fee structure,7
when is exam,23
Terms for product returns,42
Choosing the best products,50
scholarship chemical,25
call,5
companies visit,18
Discount validity period,43
Understanding delivery charges,47
Can you tell me when my order will arrive?,38
Order delivery confirmation,57
Are there any committee in college,29
How do I cancel my subscription?,46
second year scholarship,25
Billing errors resolution,54
ragging,36
Can you provide a detailed comparison between Product A and Product B?,44
computer engineering?,6
Billing support contact,54
ragging against,36
Delivery ETA,40
Dormitory costs,7
address,8
Account management assistance,49
How do I return a product?,52
Order tracking number retrieval support,57
Product variants comparison assistance,53
facilities,26
I need an update on my order status.,38
civil scholarship,25
semester,23
Updating delivery preferences,51
Refund timeline inquiry,45
Account login troubleshooting,49
distance between college and hostel,9
Best product choices,50
what is the name of principal,22
Understanding product capabilities,56
Is there any uniform,28
Guidelines for returns,42
seat allotment,27
Product pros and cons comparison,44
scholarship for AI/ML,25
college timing,4
what are the thing you can do,35
Product dimensions information,53
Product pricing details,53
what are your hours,4
Billing account management guidance,54
where is college located,8
whatsup,0
timing college,4
Return authorization timeframe clarification,52
what am i chatting to,3
Seeking product suggestions,50
chemical scholarship,25
Who is extc HOD,21
college library,14
What are college facilities,26
Does college have an uniform,28
Understanding your return policy,42
Understanding product capabilities help,56
Preparation documents,11
Next lecture topic,13
About placement,18
Degree programs,6
Can i get your phone number,5
Discounts for loyal customers,43
size of campus,12
Top-rated product recommendations,50
Required credentials,11
what are you,3
maximum number of seats,27
how many libraries,14
name of it hod,19
Personalized product picks,50
principal,22
what documents do I need for admission,11
Track my delivery status,57
documents required during admission,11
Submission requirements,11
Improving customer experience,55
who made you,2
College phone no?,5
College info line,5
Study plan for IT,13
Discount eligibility criteria,43
Hello there,0
college dresscode,28
Product exchange process,52
Boarding fees,7
Technical documentation access,56
Return authorization,42
food in canteen,17
Order status alteration guidance,51
okie,34
Semester exam timetable,23
Available majors,6
Fee payment,7
list of scholarship,25
"Hi, how's it going?",0
how can i contact you,5
Events?,10
list of events conducted in college,10
Finding the college,8
Account privacy settings help,49
events organised,10
Hello,0
Course syllabus,13
how many stundent are taken in each branch,27
Stock availability,41
automobile scholarship,25
Help me decide between two products,44
Civil engineering,6
when is the college open,4
idiot,31
How many stories in the college,12
who are you,3
Admission documents,11
Account deactivation steps,49
what are you called,3
hell,31
scholarship for civil engineering,25
how long will be the vacation,32
Finding suitable products assistance,50
Enrollment documents,11
Return authorization timeframe,52
name of principal,22
please provide sports and games information,33
Stopping subscription services,46
Syllabus details,13
Expense details,7
how u can help me,35
can you tell me the branches available in UNI?,6
IT course outline,13
Is there any hostel,9
where is the hostel,9
Product discovery assistance,50
canteen facilities,16
Technical problem resolution,48
Fields of study,6
What's next in IT class,13
Tracking order progress assistance,57
Checking order shipment status,38
System requirements check,56
Program availability,6
Product selection advice,50
Feedback impact assessment support,55
Event schedule,10
number of seats per branch,27
Academic offerings,6
Technical troubleshooting guide,48
Adding items to an existing order,51
Does college have canteen,16
Returning a purchased item help,52
it hod,19
Material composition details,53
Is my order ready for shipping?,38
Product features overview,53
Tracking order shipment help,57
Feedback impact assessment,55
Refund policy clarification,45
Why is my payment not going through?,39
document to bring,11
package,18
Payment history review,54
How can I initiate a return?,42
whats is the college address,8
Invoice details request,54
What does IT curriculum include,13
fees for non-Ac room for girls,7
Questions about billing,54
Where is library,14
Dial your number,5
Payment overdue assistance,54
Information Technology,6
hostel fees,7
Give me committee details,29
does college have any antiragging facility,36
Unable to complete payment,39
Order delivery confirmation guidance,57
who are your developers,2
College structure,12
Is anyone there?,0
admission process,24
Return shipping cost coverage,52
Return label issuance,52
college timing,4
how to reach college,8
Approximate delivery duration,40
Who is computer HOD,20
how far is hostel from college,9
Compatibility with other devices,53
Building storeys,12
What is average package,18
Phone assistance,5
How do I get to college?,8
Thank You,34
when should i come to college,4
who designed you,2
Returning purchased items,42
list of courses,6
What's the contact number?,5
Update account information,49
what is the address of college,8
who is the hod,37
branches available at your college?,6
College hotline,5
Payment authorization problem,39
Greetings,0
Profile customization options,49
Call the college,5
Admission prerequisites,11
Library information,14
Upcoming lesson,13
fuck,31
